ESP,SPF_txt,SPF_exsit,DKIM_txt,DMARC_txt,EDV_process
163com,True,False,True,True,False
inboxlv,True,True,True,True,False
control-domainexample,True,True,True,True,False
rediffcom,True,True,True,True,False
gmailcom,True,True,True,True,False
outlookcom,True,True,True,True,False
tutanotacom,True,True,True,True,False
fastmailcom,True,True,True,True,True
mailcom,True,True,True,True,False
heycom,True,True,True,True,False
gmxnet,True,True,True,True,False
yahoocom,True,True,True,True,True
oppl,True,True,True,True,True
mailfencecom,True,True,True,True,False
protonmailcom,True,True,True,True,False
interiapl,True,True,True,True,False
kolabnowcom,True,True,True,False,False
freemailhu,False,False,False,False,False
seznamcz,True,True,True,True,False
yandexcom,True,False,True,True,False
orangefr,True,True,True,True,False
lapostenet,True,True,True,True,True
navercom,True,True,True,True,False
zohomaileu,True,True,True,True,False
mailru,True,True,True,True,True
sapopt,True,True,True,True,False
